names,lats,lons,caps,prices,floors,exp_dates
Chewathai Residence Thonglor คอนโด Low Rise บนทำเลทองหล่อ-เอกมัย ในซอยทองหล่อ 20 จาก ชีวาทัย [PREVIEW],13.738984,100.587069,130,5.59,8,คาดว่าจะแล้วเสร็จ : 2562
Supalai Veranda รัชวิภา-ประชาชื่น ใกล้รถไฟฟ้า 2 สาย โดย ศุภาลัย [รีวิวฉบับที่ 482],13.818338,100.535975,1,1.85,29,
Condolette Pixel สาทร คอนโด Low Rise ย่านสาทร-พระราม 4 จาก พฤกษา พาชมตึกเสร็จพร้อมอยู่  [รีวิวฉบับที่ 895],13.718887,100.549468,345,2.4,8,
ลุมพินี วิลล์ อ่อนนุช 46 คอนโด Low Rise 7 อาคาร ห่างปากซอย 400 เมตร โดย LPN [รีวิวฉบับที่ 519],13.707505,100.634607,1,0.888,8,
พาดูทำเล The Room พระราม 4 แยกสะพานเหลือง ใกล้สามย่าน-จุฬา โดย Land and House,13.736269,100.520996,289,5.9,,
Siamese Exclusive Ratchada คอนโด High Rise พร้อม Service Residence และ Siamese Technology จาก Siamese Asset [รีวิวฉบับที่ 1794],13.800667,100.57512,560,3.3,,คาดว่าจะแล้วเสร็จ  : กุมภาพันธ์ 2565
The Niche id พระราม 2 คอนโด Low Rise 8 ชั้น ห่างจากถนนพระราม 2 300 เมตร ใกล้จุดขึ้นลงทางด่วน โดย SENA [รีวิวฉบับที่ 585],13.676585,100.468651,616,1.318,8,"คาดว่าจะแล้วเสร็จ : อาคาร a ธ.ค. 2557, อาคาร b ม.ค. 2558"
Vio แคราย คอนโด Low Rise 8 ชั้นติดสถานีรถไฟฟ้าศูนย์ราชการนนทบุรี จาก อดามัส เรียล เอสเตท [รีวิวฉบับที่ 522],13.860966,100.511878,125,2.2,8,คาดว่าจะแล้วเสร็จ : 2558
ศุภาลัย ปาร์ค สถานีตลาดพลู คอนโด High Rise 34 ชั้น ห่างสถานี BTS ตลาดพลู 300 เมตร จาก ศุภาลัย [รีวิวฉบับที่ 1433],13.712442,100.473855,785,1.66,34,คาดว่าจะแล้วเสร็จ : ปี 2563
Knightsbridge Duplex ติวานนท์ คอนโด High Rise 25 ชั้น บนถนนติวานนท์ ใกล้สถานีกระทรวงสาธารณสุข 90 ม. จาก Origin [รีวิวฉบับที่ 1108],13.850547,100.516422,373,2.34,25,คาดว่าจะแล้วเสร็จ : q3/61
รีวิวตึกเสร็จ ห้องพักวิวจริงกับโครงการ Hyde สุขุมวิท ปากซอยสุขุมวิท 13 จาก Grande Asset Hotels and Property Company Limited   [รีวิวฉบับที่ 777 ],13.741053,100.556982,454,7.2,40,
The Zea Sriracha Condominium คอนโด High Rise โดย Wealth Developer [PREVIEW],13.193239,100.935127,585,2.17,39,คาดว่าจะแล้วเสร็จ :  ปลายปี 2560
Noble State 39 คอนโด High Rise ในซอยสุขุมวิท 39 จาก Noble Development [รีวิวฉบับย่อที่ 1722],13.734139,100.571342,,,,คาดว่าจะแล้วเสร็จ : august 2022
พาชมตึกเสร็จ IDEO Q สยาม-ราชเทวี คอนโด High Rise 36 ชั้น ใกล้ BTS ราชเทวี จาก อนันดา [รีวิวฉบับที่ 1455],13.752548,100.534961,552,5.69,36,
Noble BE 33 Sukhumvit คอนโด High Rise 31 ชั้นในซอยสุขุมวิท 33ใกล้ BTS พร้อมพงษ์ จาก Noble Development  [รีวิวฉบับที่ 849],13.735357,100.567708,227,,31,
Life Ladprao คอนโดตรงข้ามเซ็นทรัลลาดพร้าว ติดรถไฟฟ้า Facility จัดเต็มอยู่ชั้นบนสุด [PREVIEW],13.817542,100.562645,1,2.9,,
The Collect รัชดา 32 คอนโด Low Rise เพียง 64 ยูนิต ใกล้รถไฟฟ้าสายสีเหลือง จาก เดอะเน็กซ์ เรียลเอสเตท [PREVIEW],13.817809,100.582394,64,1.99,8,
FYNN อโศก คอนโด Low Rise ในซอยสุขุมวิท 10 ใกล้สวนเบญจกิติ จาก FYNN Development [รีวิวฉบับที่ 1776],13.735617,100.556795,263,4.5,8,คาดว่าจะแล้วเสร็จ : ธ.ค. 2564
Whizdom รัชดา-ท่าพระ คอนโด High Rise ใกล้ BTS ตลาดพลู ตรงข้าม The Mall ท่าพระ จาก Magnolia [รีวิวฉบับที่ 1647],13.713632,100.478317,690,,37,
The TEAK รัชดา 19 คอนโด Low Rise ใกล้ MRT รัชดาภิเษก จาก ทีค ดีเวลลอปเม้นท์[PREVIEW],13.7988648,100.5716866,78,3.99,7,คาดว่าจะแล้วเสร็จ : q3 / 2563
The Tree อ่อนนุช สเตชั่น คอนโด Low Rise ติด Community mall Phyll ห่างจาก BTS 480 ม. โดย พฤกษา [รีวิวฉบับที่ 1209],13.701622,100.600345,166,2.35,8,คาดว่าจะแล้วเสร็จ : q1/2561
U Delight @ตลาดพลู สเตชั่น คอนโดตึกคู่ตรงข้าม The Mall ท่าพระ จาก Grand U [รีวิวฉบับที่ 556],13.709858,100.479432,973,2.19,,คาดว่าจะแล้วเสร็จ : มี.ค. 2559
Canapaya Residences คอนโดหรูพระราม 3 ริมแม่น้ำเจ้าพระยา พร้อมท่าจอดเรือยอร์ช [รีวิวฉบับที่ 555],13.688427,100.514162,224,7.5,57,คาดว่าจะแล้วเสร็จ : ไตรมาศที่ 2 พ.ศ. 2560
Plum Condo Ram 60 Interchange คอนโด Low Rise ในซอยรามคำแหง 60 ใกล้รถไฟฟ้าสถานี Interchange ลำสาลี 350 m. จาก พฤกษา [รีวิวฉบับที่ 1463],13.761073,100.649363,960,1.35,8,คาดว่าจะแล้วเสร็จ : q4/2561
IDEO Q สยาม-ราชเทวี คอนโด High Rise 36 ชั้น ใกล้ BTS ราชเทวี จาก อนันดา [รีวิวฉบับที่ 819],13.752548,100.534961,552,5.5,36,
The Key สาทร – เจริญราษฎร์ คอนโด High Rise 38 ชั้น บนถนนเจริญราษฎร์ ใกล้จุดขึ้นลงทางด่วนถนนจันทร์ [รีวิวฉบับที่ 713],13.701155,100.51597,855,5,38,คาดว่าจะแล้วเสร็จ : มิถุนายน 2560
Circle S สุขุมวิท 12  คอนโด Low Rise พร้อมอยู่ ในซอยสุขุมวิท 12 ห่างจาก BTS อโศก 600 เมตร [รีวิวฉบับที่ 865],13.735264,100.557885,108,32,8,
รีวิวตึกเสร็จ The Rich Park 2 เตาปูน Interchange คอนโด High Rise ใกล้ MRT เตาปูน 120 เมตร จาก ริชี่เพลซ [รีวิวฉบับที่ 1811],13.806228,100.528944,720,2.49,26,
The Excel คูคต คอนโด Low rise 8 ช้ัน ตรงข้ามโลตัสลำลูกกาคลอง 2 จาก All Inspire [รีวิวฉบับที่ 1165 ],13.947502,100.642561,,,,คาดว่าจะแล้วเสร็จ : ต้นปี 2561
The Tree สุขุมวิท 71-เอกมัย คอนโด High Rise 33 ชั้น บนถนนสุขุมวิท 71 ใกล้แยกคลองตัน จากพฤกษา [รีวิวฉบับที่ 1298],13.74064,100.600157,883,1.69,33,คาดว่าจะแล้วเสร็จ : เมษายน 2562
พาชมคอนโดพร้อมอยู่ เดอะ เบส การ์เดน – พระราม 9 ใกล้ ARL รามคำแหง บนถนนพระราม 9 จาก แสนสิริ [รีวิวฉบับที่ 1692],13.746599,100.606064,639,3.19,36,
Knightsbridge พหลโยธิน-อินเตอร์เชนจ์ คอนโด High Rise 15 ชั้น ติดถนนพหลโยธิน ห่างสถานีวัดพระศรีมหาธาตุประมาณ 250 ม. จาก Origin [รีวิวฉบับที่ 1363],13.879012,100.598462,26,1.89,,คาดว่าจะแล้วเสร็จ : q1 ปี 2563
The Tree หัวหมาก คอนโด High Rise ติดถนนรามคำแหง เชื่อมกับ The Mall บางกะปิ และใกล้รถไฟฟ้าสถานีหัวหมาก จากพฤกษา [PREVIEW],13.762904,100.64172,85,1.99,,
The Excel Bearing คอนโด Low Rise 8 ชั้น ในซอยลาซาล 11โดย ออลล์ อินสไปร์ ดีเวลลอปเม้นท์ จำกัด [รีวิวฉบับที่ 538],13.662595,100.608244,60,1.49,8,
พาชมทำเล Tonson One Residence คอนโด High Rise ขายแบบ Freehold ในซอยต้นสน ห่าง BTS ชิดลม 300 เมตร จาก Asset Five x Capstone Asset [รีวิวฉบับที่ 1859],13.742312,100.545531,,,,
ASPIRE รัชดา – วงศ์สว่าง คอนโด High Rise ใกล้สถานีวงศ์สว่าง โดย AP[PREVIEW],13.830782,100.525051,1,1.59,27,คาดว่าจะแล้วเสร็จ :  กันยายน 2559
The Collection คอนโด High Rise ในซอยสุขุมวิท 16 ใกล้ BTS อโศก พร้อมวิวทะเลสาบและสวนเบญจกิติ จาก Siamese Asset [รีวิวฉบับที่ 1774],13.731059,100.560927,36,6.2,,คาดว่าจะแล้วเสร็จ : มิ.ย. 2565
T-One พหลโยธิน 32 คอนโด Low Rise 8 ชั้น ใกล้เมเจอร์รัชโยธิน และม.เกษตร[รีวิวฉบับที่ 668],13.833025,100.573723,,1.9,,คาดว่าจะแล้วเสร็จ : กลางปี 2559
รีวิวตึกเสร็จ Artemis สุขุมวิท 77 คอนโด High Rise 30 ชั้น บนถนนอ่อนนุช ห่าง BTS อ่อนนุช 800 เมตร จาก CTCC Engineering [รีวิวฉบับที่ 1848],13.711328,100.604363,673,2.87,30,
Magnix รามอินทรา 21 คอนโด Low Rise ในซอย รามอินทรา 19 แยก 4 ใกล้สถานีลาดปลาเค้า จาก เดอะ รอยัล เรสซิเดนซ์ จำกัด [รีวิวฉบับที่ 1839],13.865164,100.617028,79,1.59,8,คาดว่าจะแล้วเสร็จ : q2 / 2563
Walden สุขุมวิท 39 คอนโด Low Rise บนทำเลย่านพร้อมพงษ์ ในซอยสุขุมวิท 39 (ซอยพร้อมมิตร) จาก Habitat Group [รีวิวฉบับที่ 1702],13.73302,100.575125,116,7.4,8,คาดว่าจะแล้วเสร็จ : q3/2021
The Excel Groove คอนโด Low Rise ราคาต่ำกว่าล้าน ในซอยลาซาล จาก All Inspire Development [รีวิวฉบับที่ 1071],13.657941,100.634888,182,,8,
พาชมทำเล The Tree Elegance ติวานนท์ คอนโด High Rise จากพฤกษา [รีวิวฉบับที่ 838],13.844424,100.503261,,,,
รีวิวตึกเสร็จ Bangkok Horizon รัชดา-ท่าพระ คอนโด High Rise บนถนนรัชดาภิเษก จาก CMC  [รีวิวฉบับที่ 1633],13.708124,100.480374,565,2.79,30,คาดว่าจะแล้วเสร็จ : 2015
The Tree หัวหมาก คอนโด High Rise ติดถนนรามคำแหง ใกล้ The Mall บางกะปิ ใกล้รถไฟฟ้า MRT สถานีลำสาลี จากพฤกษา [รีวิวฉบับที่ 1709],13.762427,100.64184,7,1.99,,คาดว่าจะแล้วเสร็จ : ปลายปี 63
28 Chidlom คอนโดหรูใจกลางเมือง ใกล้ BTS บนที่ดินที่แพงที่สุดบนถนน ชิดลม จาก SC Asset [รีวิวฉบับที่ 1280],13.746526,100.544257,427,11,,คาดว่าจะแล้วเสร็จ : ปี 2563
The Connexion 2 รัตนาธิเบศร์ ซอย 7 คอนโด Low Rise ใกล้รถไฟฟ้าสายสีม่วง สถานีศูนย์ราชการ 150 เมตร จาก Connexion Development [รีวิวฉบับที่ 837],13.858682,100.511128,117,1.35,8,คาดว่าจะแล้วเสร็จ : กลางปี 2559
The Prop Condominium คอนโด Low Rise ตึกคู่ในซอยแจ้งวัฒนะ 12 จาก The Rise Property [PREVIEW],13.896126,100.565758,315,1.2,8,คาดว่าจะแล้วเสร็จ : ตุลาคม 2561
YOU 2 CONDO คอนโด Low Rise ในซอยพหลโยธิน 34 ใกล้แยกเกษตร จากยูทีลิตี้ แลนด์ [รีวิวฉบับที่ 441],13.83633,100.581967,451,1.19,8,
พาชมตึกเสร็จ Tempo Grand สาทร-วุฒากาศ คอนโด High Rise ใกล้ BTS วุฒากาศ จาก Built Land  [รีวิวฉบับที่ 1092],13.712604,100.467943,16,4.20,24,
พาชมตึกเสร็จ Park 24 หมู่คอนโด High Rise มาพร้อมพื้นที่สีเขียวกว่า 10 ไร่ ในซอยสุขุมวิท 24 จาก Origin [รีวิวฉบับที่ 1506],13.725635,100.566196,4,5.9,,
พาชมตึกเสร็จ Plum Condo พระราม 2 หมู่คอนโด Low Rise 8 ชั้น บนถนนพระราม 2 จาก พฤกษา [รีวิวฉบับที่ 1179],13.673635,100.458485,681,1.09,8,
The Posh Twelve คอนโด High Rise ติดถนนติวานนท์ ใกล้ MRT กระทรวงสาธารณสุข [รีวิวฉบับที่ 793],13.851128,100.516371,552,1.99,,คาดว่าจะแล้วเสร็จ : มีนาคม 2563
The Saint Residences หมู่ตึก High Rise ใกล้ห้าแยกลาดพร้าว จาก Salan Development [รีวิวฉบับที่ 789],13.811736,100.560085,21,3.8,,คาดว่าจะแล้วเสร็จ : 3
My Resort @ River จรัญ 72 คอนโดริมน้ำเจ้าพระยา ใกล้รถไฟฟ้าสายสีน้ำเงินสถานีบางพลัด [รีวิวฉบับที่ 437],13.788811,100.505644,123,12,,
Lumpini Ville สุขสวัสดิ์-พระราม2 คอนโด High Rise ติดถนนพระราม 2 ใกล้ทางด่วน จาก LPN [รีวิวฉบับที่ 1658],13.684323,100.488189,377,1.69,26,คาดว่าจะแล้วเสร็จ : ปลายปี 2562
Knightsbridge Prime อ่อนนุช คอนโดสูง 47 ชั้น เป็นคอนโดสูงสุดในอ่อนนุช ติด Big C ใกล้ BTS จาก Origin [รีวิวฉบับที่ 1418],13.710293,100.602068,600,2.69,47,คาดว่าจะแล้วเสร็จ : q4 2563
Dcon Prime รัตนาธิเบศร์ คอนโดวิวเจ้าพระยา High Rise 38 ชั้น ติดรถไฟฟ้า MRT ไทรม้า บนถนนรัตนาธิเบศร์ จาก Orrada [รีวิวฉบับที่ 1012],13.871124,100.467146,638,1.65,38,คาดว่าจะแล้วเสร็จ : มกราคม 2561
SAVVI อารีย์ 4 คอนโด Low Rise ซอยอารีย์ 4(ฝั่งเหนือ) เป็นส่วนตัวเพียง 39 ยูนิต จาก The Urban Property [รีวิวฉบับที่ 1665],13.785573,100.543504,39,5.5,8,คาดว่าจะแล้วเสร็จ : q4/2563
Atmoz แจ้งวัฒนะ กลุ่มคอนโด Low Rise บนถนนเลียบคลองประปา ใกล้สี่แยกคลองประปา จาก AssetWise [รีวิวฉบับที่ 1814],13.896856,100.55443,625,1.29,8,คาดว่าจะแล้วเสร็จ : พฤกษาคม 2563
JRY RAMA9 CONDOMINIUM คอนโด Low Rise 8 ชั้น ในซอยพระราม 9 ซอย 17 จาก JRY Development Group Company [รีวิวฉบับที่ 1177],13.761704,100.591519,157,2.69,8,คาดว่าจะแล้วเสร็จ : ธ.ค. 2560
The Diplomat Sathorn คอนโดมิเนียมติดสถานีรถไฟฟ้า BTS สุรศักดิ์ โดย KPN [รีวิวฉบับที่ 490],13.720135,100.52207,192,7.9,,
Lesto สุขุมวิท 113 กลุ่ม Condo Low Rise 8 ชั้น ห่างสถานีรถไฟฟ้าสำโรง 650 ม. จาก บิลท์ แลนด์ [PREVIEW],13.647176,100.600939,786,,8,คาดว่าจะแล้วเสร็จ : กันยายน 2560
ศุภาลัย พรีเมียร์ เจริญนคร คอนโด High Rise ใกล้โรงพยาบาลตากสินและใกล้รถไฟฟ้าสายสีทอง สถานีคลองสาน จากศุภาลัย[รีวิวฉบับที่ 1430],13.729919,100.5075,578,3.1,26,คาดว่าจะแล้วเสร็จ : ปี 2564
รีวิวโครงการสร้างเสร็จ RHYTHM สุขุมวิท 44/1 ติดสถานี BTS พระโขนง โดย AP [รีวิวเจาะลึก 527],13.715393,100.590497,486,4.8,34,
dcondo Campus Dome-Rangsit คอนโด Low Rise ใกล้ ม.ธรรมศาสตร์-รังสิต จากแสนสิริ [รีวิวฉบับที่ 1599],14.062361,100.608889,482,1.69,8,คาดว่าจะแล้วเสร็จ : พฤศจิกายน 2562
พาชมตึกเสร็จ H2 Stone คอนโด Low Rise 1 ใน 7 คอนโดภายใต้ชื่อ H2 ในซ.รามอินทรา 21 จาก Asset Wise [รีวิวฉบับที่ 963],13.864388,100.616945,73,2.04,8,
Fuse MiTi สุทธิสาร-รัชดา คอนโด High Rise 17 ชั้น ปากซอยอินทามระ 22 โดย พฤกษา [รีวิวฉบับที่ 572],13.789386,100.563942,281,2.89,17,คาดว่าจะแล้วเสร็จ : ก.พ. 2559
WISH Signature II Midtown Siam คอนโด High Rise 41 ชั้น หลัง Siam Paragon ใกล้ BTS ราชเทวี จากสยามนุวัตร [รีวิวฉบับที่ 1444],13.751292,100.535072,333,6,41,คาดว่าจะแล้วเสร็จ : เดือนมีนาคม 2563
Condolette Light คอนแวนต์  คอนโดมิเนียม Low Rise ในซอยพิพัฒน์ 2 ใกล้บีทีเอสช่องนนทรี จาก พฤกษา [รีวิวฉบับที่ 548],13.725122,100.533093,111,4.6,8,คาดว่าจะแล้วเสร็จ : ก.พ. 2557
The Tree ลาดพร้าว 15 คอนโด Low Rise ในซอยลาดพร้าว 15 ใกล้ MRT ลาดพร้าว จาก พฤกษา [รีวิวฉบับที่ 1519],13.810549,100.566244,214,1.49,8,คาดว่าจะแล้วเสร็จ : พ.ค. 62
Supalai Elite @Surawong คอนโด High Rise บนถนนนเรศ เชื่อมระหว่างถนนสี่พระยาและถนนสุรวงศ์ จาก ศุภาลัย [Preview],13.730525,100.523032,277,,31,
Silk Place พหลโยธิน-หลักสี่ คอนโด High Rise 15 ชั้น ติดถนนพหลโยธินใกล้แยกรามอินทรา จาก KASC [รีวิวฉบับที่ 1088],13.87874,100.597975,274,2.168,15,
AESTIQ Thonglor คอนโด High Rise ระดับ Ultimate Class บนถนนทองหล่อ จาก Real Asset [รีวิวฉบับที่ 1719],13.740183,100.586319,203,9.59,40,คาดว่าจะแล้วเสร็จ : ไตรมาส 4 ปี 2564
The Base สะพานใหม่ คอนโด High Rise 14 ชั้น ติดถนนพหลโยธินและสถานีสายหยุด จาก แสนสิริ [รีวิวฉบับที่ 1672 ],13.887917,100.604635,820,,14,คาดว่าจะแล้วเสร็จ :q3 2563
The Line สุขุมวิท 101 คอนโด High Rise แบบ High Ceiling ติดสุขุมวิท ใกล้ BTS ปุณณวิถี จาก แสนสิริ [รีวิวฉบับที่ 1201],13.691873,100.607919,778,,37,คาดว่าจะแล้วเสร็จ : มกราคม 2563
Tidy Deluxe สุขุมวิท 34 คอนโดมิเนียม Low Rise ใกล้บีทีเอสทองหล่อ จาก ทองหล่อสิบเจ็ด [รีวิวฉบับที่ 508],13.7253,100.574783,141,4,8,
Maestro 01 สาทร-เย็นอากาศ คอนโด Low Rise จาก Major Development [PREVIEW],13.717787,100.547891,88,4.5,8,คาดว่าจะแล้วเสร็จ : สิงหาคม 2560
Plum Condo บางใหญ่ สเตชั่น คอนโดใกล้รถไฟฟ้าสายสีม่วง สถานีคลองบางไผ่ และ Community Mall โดย พฤกษา [รีวิวฉบับที่ 474],13.889036,100.407479,1,0.849,8,
พาชมตึกเสร็จ U Delight Residence Riverfront พระราม 3 คอนโด High Rise ติดแม่น้ำเจ้าพระยา สูง 30 ชั้น บนถนนพระราม 3 จาก Grand U [รีวิวฉบับที่ 1139],13.675297,100.532802,979,2.82,30,
De LAPIS จรัญ 81 คอนโด High Rise วิวแม่น้ำเจ้าพระยา ใกล้สถานีบางพลัด จาก Grand Unity [รีวิวฉบับที่ 1568],13.792394,100.503582,635,2.49,32,คาดว่าจะแล้วเสร็จ : กรกฎาคม 2562
QUINN สุขุมวิท 101 คอนโด High Rise 31 ชั้น สไตล์โมเดิร์น ติดถนนสุขุมวิท 0 เมตร BTS ปุณณวิถี จาก MBK Real Estate [รีวิวฉบับที่ 1711],13.689988,100.608843,347,5.9,31,คาดว่าจะแล้วเสร็จ : september 2020
IDEO Q จุฬาฯ – สามย่าน ใกล้ MRTสามย่าน จุดขึ้นลงทางด่วน และหัวลำโพงจากอนันดาฯ [PREVIEW],13.733497,100.525802,1,2.89,,
CASA FRANCE ABAC บางนา คอนโด Low Rise 8 ชั้น 2 อาคารในซอย Number One จาก ทีแอลพี กรุ๊ป [รีวิวฉบับที่ 496],13.592417,100.829418,323,1.11,8,
ลุมพินี พาร์ค วิภาวดี-จตุจักร และ ลุมพินี ทาวเวอร์ วิภาวดี-จตุจักร คอนโด Mix-use แห่งแรก บนทำเลซอยวิภาวดี 3 ติดถนนวิภาวดี – รังสิต จาก LPN [PREVIEW],13.797168,100.560344,,2.49,,คาดว่าจะแล้วเสร็จ : ธันวาคม 2562
Supalai Icon สาทร คอนโดระดับ Super Luxury ติดถนนสาทร จาก ศุภาลัย [รีวิวฉบับย่อที่ 1852],13.723837,100.537861,787,8.2,56,คาดว่าจะแล้วเสร็จ : ประมาณปี 2567
Tulip Square @อ้อมน้อย คอนโด Low Rise 8 ชั้น 7 อาคารมี Community Mall หน้าโครงการ จาก JSP [รีวิวฉบับที่ 642],13.70475,100.322383,1,1.05,8,คาดว่าจะแล้วเสร็จ : ปลายปี 58
พาชมตึกเสร็จ U Delight รัชวิภา คอนโด High Rise บนถนนวิภาวดีรังสิต ตรงข้ามวัดเสมียนนารี จาก Grand Unity [รีวิวฉบับที่ 1303],13.838466,100.557843,875,2.99,23,
พาชมทำเล IDEO สุขุมวิท 93 คอนโด High Rise ติดถนนสุขุมวิทใกล้ BTS บางจากบนเนื้อที่ 8 ไร่ จากอนันดา  [รีวิวฉบับที่ 1178],13.698513,100.60463,1,2.49,38,
The Unique สุขุมวิท 62/1 คอนโด Low Rise ห้อง 3 ชั้นแบบ “Tri-plex” by Ten Thai Development [รีวิวฉบับที่ 639],13.691883,100.603193,116,2.89,8,คาดว่าจะแล้วเสร็จ : ปี 2559
Rhythm อโศก 2 คอนโดมิเนียม High Rise ใกล้ MRT พระราม 9 และ ทางด่วน [PREVIEW],13.753892,100.564824,16,2.89,,คาดว่าจะแล้วเสร็จ :  กุมภาพันธ์ ปี 2560
The Excel Hideaway รัชดา-ห้วยขวาง คอนโด Low Rise ในซอยประชาราษฏร์บำเพ็ญ 10 จาก All Inspire [รีวิวฉบับที่ 1612],13.774188,100.576931,592,2.31,8,
The Reserve 61 Hideaway คอนโดหรูสไตล์ Modern Classic ในซอยสุขุมวิท 61 จาก พฤกษา [รีวิวฉบับที่ 1704],13.729607,100.584313,164,,7,คาดว่าจะแล้วเสร็จ : มีนาคม 2564
Supalai City Resort ชลบุรี คอนโด High Rise 25 ชั้น ติดถนนสุขุมวิท ใจกลางอำเภอเมืองชลบุรี จาก ศุภาลัย [รีวิวฉบับที่ 1069],13.353703,100.983318,586,1.19,25,
Plum Condo รามคำแหง สเตชั่น คอนโด High Rise 33 ชั้น บนถนนรามคำแหง ใกล้ Airport Rail Link รามคำแหง 250 ม. จากพฤกษา[รีวิวฉบับที่ 1098],13.74436,100.602743,1,1.69,33,คาดว่าจะแล้วเสร็จ : q3 2561
MITI คอนโด Low Rise สูง 7 ชั้น บนถนนลาดพร้าว-วังหิน จาก One Real Estate [รีวิวฉบับที่ 1010],13.828402,100.591854,198,1.89,7,คาดว่าจะแล้วเสร็จ : q3 2560
The L15 Condo คอนโดมิเนียม Low Rise ในซอยลาดพร้าว 15 จาก ศิริเลิศ [รีวิวฉบับที่ 638],13.810628,100.573214,79,2.19,8,คาดว่าจะแล้วเสร็จ : พฤศจิกายน 2015
พาชมตึกเสร็จ Rich Park @ เจ้าพระยา คอนโด High Rise 33 ชั้น วิวแม่น้ำเจ้าพระยา ใกล้ MRT ไทรม้า จาก Richy Place 2002 [รีวิวฉบับที่ 1145],13.870447,100.469418,633,1.9,33,
พาชมห้องตัวอย่าง The Room สุขุมวิท 38 คอนโด High Rise ระดับ Super Luxury ในซอยสุขุมวิท 38 ห่าง BTS ทองหล่อ 700 ม. จาก Land & Houses,13.71696,100.579955,229,9.9,26,คาดว่าจะแล้วเสร็จ : q1/2564
B-LOFT คอนโด Low Rise สไตล์ Modern Loft ในซอยสุขุมวิท 109 จาก Origin Property [รีวิวฉบับที่ 762],13.650875,100.605675,171,,8,
Ideo Mobi สุขุมวิท คอนโดตึกคู่สูง 23 และ 25 ชั้นใกล้สถานีรถไฟฟ้า BTS อ่อนนุช by Ananda – รีวิวตึกเสร็จ [รีวิวฉบับที่ 618],13.704313,100.601762,446,6.07,23,
mori HAUS คอนโด Low Rise 7 ชั้น 2 อาคารในกลุ่ม T77 community ติดถนนอ่อนนุช จาก แสนสิริ [รีวิวฉบับที่ 1142],13.714769,100.602492,143,4,,คาดว่าจะแล้วเสร็จ : พ.ย. 2560
Hasu Haus คอนโด Low Rise 7 ชั้น ริมคลองพระโขนง จากแสนสิริ [รีวิวฉบับที่ 706],13.713892,100.602198,324,2.6,7,คาดว่าจะแล้วเสร็จ : มิถุนายน 2559
M Phyathai คอนโด High Rise ตึกเสร็จระดับ Luxury Class ใกล้ BTS อนุสาวรีย์ฯ จาก Major Development [รีวิวฉบับที่ 804],13.760478,100.536095,213,8.04,35,
hasu HAUS คอนโด Low Rise ใกล้ BTS อ่อนนุช จาก แสนสิริ  [Preview],13.713717,100.602095,324,2.29,7,
Villa Lasalle คอนโด Low Rise ตึกคู่ ซอยลาซาล18 จาก Origin Property [รีวิวฉบับที่ 650],13.660429,100.611238,,1.49,,
The Privacy พระราม 9 คอนโด High Rise 30 ชั้น บนถนนรามคำแหง ใกล้ Airport Rail Link รามคำแหง 250 ม. จาก พฤกษา [รีวิวฉบับที่ 1470],13.74436,100.602743,854,2.17,30,คาดว่าจะแล้วเสร็จ : พ.ย. 2562
