names,lats,lons,caps,prices,floors,exp_dates
พาชมตึกเสร็จชีวาทัย เพชรเกษม27 คอนโดHigh Rise ตรงข้ามม.สยาม ใกล้ BTS และ MRT บางหว้า จาก ชีวาทัย [รีวิวฉบับที่ 1749],13.718237,100.453677,638,2.16,26,
The Prodigy เพชรเกษม 62 คอนโด High Rise ตึกคู่ใกล้ MRT บางแค จาก GDT [รีวิวฉบับที่ 824],13.71237,100.426574,1,1.69,,คาดว่าจะแล้วเสร็จ : ม.ค. ปี 2560
LUGANO ลาดพร้าว18-รัชดา19 คอนโด Low Rise สร้างเสร็จพร้อมอยู่ ในซอยทางลัดวิภาวดี ลาดพร้าว และรัชดา จาก Lugano Development [รีวิวฉบับที่ 749],13.803112,100.569086,123,2.65,8,
พาชมตึกเสร็จ Maestro 03 รัชดา-พระราม9 คอนโด Low Rise ในซอยรัชดาภิเษก 3 ใกล้ MRT พระราม 9 จาก Major Development [รีวิวฉบับที่ 1621],13.762876,100.564688,335,3.80,8,คาดว่าจะแล้วเสร็จ : มี.ค. 2018
พาชมทำเล Fynn สุขุมวิท 31 คอนโด Low Rise ในซอยสุขุมวิท 31 (ซอย สวัสดี)จาก Yellowfynn Development [รีวิวฉบับที่ 1307],13.741594,100.56698,,,,
PARK Origin พญาไท คอนโดตึกสูงติดถนนพญาไท กับคอนเซปท์ภูเขาใจกลางกรุง ห่าง 260 เมตร BTS พญาไท จาก Origin [PREVIEW],13.75947,100.535464,550,,35,
Ideo ท่าพระ Interchange คอนโด High Rise 22 ชั้น ใกล้รถไฟฟ้าสถานี ท่าพระ จาก Ananda [รีวิวฉบับที่ 1006],13.728824,100.475857,844,2.69,22,คาดว่าจะแล้วเสร็จ : มกราคม 2561
Rich Park 2 @เตาปูนอินเตอร์เชนจ์ คอนโด High Rise ใกล้รถไฟฟ้าสายสีม่วง-น้ำเงินโดย ริชี่เพลซ [PREVIEW],13.806375,100.528936,720,1.88,26,
Life ๑ Wireless คอนโด High Rise 43 ชั้น บนถนนวิทยุ จาก AP [รีวิวฉบับย่อที่ 1387],13.747973,100.548928,1,4.9,43,คาดว่าจะแล้วเสร็จ : q3 ปี 2020
พาชมห้องตัวอย่าง KALM Penthouse คอนโด Low Rise ในซอยศูนย์วิจัย 2 ใกล้ รพ.กรุงเทพ เป็นส่วนตัวเพียง 16 ยูนิต จาก  แคสท์ เอสเตท ดีเวลลอปเมนท์,13.75027,100.587356,16,13.7,7,คาดว่าจะแล้วเสร็จ : 3/2562
XT เอกมัย คอนโด High Rise ติดถนนเอกมัย ห่าง BTS เอกมัย 1.5 กม. จาก แสนสิริ [รีวิวฉบับที่ 1635],13.73375,100.587293,537,4.59,38,คาดว่าจะแล้วเสร็จ : ธ.ค. 2020
KEYNE ทองหล่อ คอนโด High Rise ติดสถานีรถไฟฟ้าทองหล่อ by แสนสิริ [รีวิวฉบับที่ 552],13.725013,100.576906,216,,28,
Nimit หลังสวน คอนโด High Rise จาก Pace Development [PREVIEW],13.735129,100.542252,187,,,
Tempo One รามคำแหง – พระรามเก้า คอนโด Low Rise ในซอยรามคำแหง 12 ติดด้านหลัง The Mall ราม2 จาก Built Land [รีวิวฉบับที่ 659],13.749862,100.61233,139,1.6,8,
รีวิวตึกเสร็จ Maestro 07 อนุสาวรีย์ชัยฯ คอนโด Low Rise ติดถนนใหญ่ ใกล้อนุสาวรีย์ชัยฯ จาก Major Development [รีวิวฉบับที่ 1731],13.763901,100.540098,171,3.8,,คาดว่าจะแล้วเสร็จ : ปี2561
FYNN Aree คอนโด Low-rise ในซอยอารีย์ 2 ระยะ 850 เมตรถึง BTS อารีย์ จาก Yellowfynn Development [รีวิวฉบับที่ 992],13.777908,100.540264,79,3.4,8,คาดว่าจะแล้วเสร็จ : กลางปี 2560
The Stage เตาปูน อินเตอร์เชนจ์ คอนโด High Rise จาก Real Asset [PREVIEW],13.805661,100.526171,773,,36,คาดว่าจะแล้วเสร็จ : ธ.ค. 2560
GARDEN อโศก-พระราม 9 คอนโด Low Rise 4 อาคารติด RCA by AQ Estate [รีวิวฉบับที่ 601],13.749843,100.574652,630,1.25,8,
รีวิวตึกเสร็จ The Lofts Asoke คอนโด High Rise บนถนนอโศกมนตรี ห่างจาก MRT เพชรบุรี 200 เมตร จาก Raimon Land [รีวิวฉบับที่ 1824],13.746743,100.562706,7,8.3,,
MIELER สุขุมวิท 40 คอนโด Low Rise ระดับ Luxury ห่าง BTS เอกมัย 700 ม. เป็นส่วนตัวเพียง 24 ยูนิต จาก MJ One [PREVIEW],13.717013,100.580832,24,17.29,7,คาดว่าจะแล้วเสร็จ : มี.ค. 2561
The Niche Mono รัชวิภา คอนโดตึกคู่ 27 ชั้น ใกล้จุดขึ้น-ลงทางด่วน จาก Sena Development [รีวิวฉบับที่ 497],13.830892,100.540084,22,1.95,,
Smart Condo พระราม 2 คอนโด Low Rise 8 อาคาร บนถนนบางขุนเทียน-ชายทะเลใกล้เซ็นทรัลพระราม 2 จาก ปริญสิริ [รีวิวฉบับที่ 504],13.658446,100.428186,2,0.999,8,
พาชมตึกเสร็จ Pi Condo แจ้งวัฒนะ Low Rise 8 ชั้น ใกล้ห้าแยกปากเกร็ด ในซอยแจ้งวัฒนะ-ปากเกร็ด 9/1 จาก ฟอรัส พรอพเพอร์ตี้ [รีวิวฉบับที่ 1150],13.911463,100.502625,77,1.49,8,
Ideo Q สยาม-ราชเทวี คอนโด High Rise ใกล้ BTS ราชเทวี จาก อนันดา [PREVIEW],13.752644,100.534915,550,5.2,36,
"XT พญาไท 1 ใน 3 โครงการใหม่ของซีรีย์ XT ที่มีพื้นที่ส่วนกลางกว่า 4,500 ตร.ม. ใกล้รถไฟฟ้า BTS และ APL สถานีพญาไท จาก SANSIRI [PREVIEW]",13.757575,100.53877,1,,,
ESTA Bliss หมู่ตึก Low Rise 3 อาคาร ใกล้รถไฟฟ้าสายสีชมพู สถานีเศรษฐบุตรบำเพ็ญ จาก 39 Estate [รีวิวฉบับที่ 667],13.812202,100.715125,634,,8,
Polis Condo สุขสวัสดิ์64 คอนโด Low Rise ในซอยสุขสวัสดิ์ 64 จาก ดับบลิวแอนด์ดับบลิว พร็อพเพอร์ตี้ แอนด์ ดีเวลลอปเม้นท์ [PREVIEW],13.64947,100.51383,459,1.19,8,คาดว่าจะแล้วเสร็จ : ปลายปี 2562
SUPREME LEGEND คอนโด low rise 7 ชั้นในซอยอมร ถนนนางลิ้นจี่ จาก สุพรีม ทีม [รีวิวฉบับที่ 1143],13.711236,100.549086,71,14.9,7,คาดว่าจะแล้วเสร็จ : ไตรมาสที่ 1 ปี 2018
Chapter One คอนโดริมเจ้าพระยาติดถนนใหญ่ราษฎร์บูรณะ โดย พฤกษา [รีวิวฉบับที่ 673],13.675327,100.517271,1,1.9,,
Maestro 02 ร่วมฤดี คอนโดหรู 8 ชั้น ย่านเพลินจิต ในซอยร่วมฤดี 2 โดย Major Development [รีวิวฉบับที่ 605],13.735873,100.550704,126,3.7,8,คาดว่าจะแล้วเสร็จ: เม.ย. ปี 2559
LESTO CONDO สุขุมวิท 113 อินเตอร์เชนจ์ สเตชั่น คอนโด Low Rise 8 ชั้นในซอยสุขุมวิท 113 จาก บิลท์ แลนด์ [รีวิวฉบับที่ 1192],13.647143,100.601154,32,,8,คาดว่าจะแล้วเสร็จ : ม.ค. 61
The Excel อุดมสุข คอนโด Low Rise 8 ชั้น ในซอยอุดมสุข 29 จาก All Inspire [รีวิวฉบับที่ 1167],13.679282,100.624328,228,,8,คาดว่าจะแล้วเสร็จ : กันยายน 2560
Than Living พระราม9 – Airport Link คอนโด High Rise บนถนนศรีนครินทร์ ใกล้ Airport Rail Link หัวหมาก จาก กีธา พร็อพเพอร์ตี้ส์ [รีวิวฉบับที่ 810],13.737058,100.641136,530,2.19,32,คาดว่าจะแล้วเสร็จ : มีนาคม 2561
Mazarine รัชโยธิน คอนโด High Rise บนถนนพหลโยธิน ติดรถไฟฟ้าสถานี รัชโยธิน จาก Grand Unity [รีวิวฉบับที่ 1678],13.828898,100.569459,23,4.20,,คาดว่าจะแล้วเสร็จ :  ตุลาคม 2563
Circle Condominium คอนโด High Rise ตึกคู่ริมถนนเพชรบุรี จาก Fragrant [รีวิวฉบับที่ 687],13.749275,100.555941,917,3.49,,
M ทองหล่อ 10 พาชมตึกเสร็จพร้อม Facilities 2 ชั้นบนสุดและวิวจากโครงการ โดย Major Development [รีวิวฉบับที่ 1187],13.730762,100.586767,173,4.29,22,
พาชมทำเลโครงการ The Tree Rio คอนโด High Rise บนนถนนจรัญฯ ติดสถานีบางอ้อ ตรงข้ามโรงพยาบาลยันฮี จาก พฤกษา [PREVIEW],13.799704,100.508578,,,,
พาชมทำเล FYNN Asoke คอนโด Low Rise ในซอยสุขุมวิท 10 จาก FYNN Development [รีวิวฉบับที่ 1710],13.735617,100.556795,,,,
dcondo campus resort บางนา คอนโด 8 ชั้นสร้างเสร็จพร้อมอยู่ จากแสนสิริ [รีวิวฉบับที่ 686],13.603612,100.847018,1,1.39,8,
พาไปชมตึกเสร็จ S9 คอนโด Low Rise ห่างจากรถไฟฟ้าสถานีบางรักใหญ่ 100 ม. จาก สัมมากร [รีวิวฉบับที่ 873],13.8775986,100.44608679999999,655,1.49,8,คาดว่าจะแล้วเสร็จ : 2558
Lumpini Ville พัฒนาการ – ศรีนครินทร์ คอนโด High Rise 32 ชั้น บนถนนพัฒนาการ เน้นการพักผ่อนและการออกกำลังกาย จาก LPN [รีวิวฉบับที่ 1653],13.737223,100.623632,795,1.65,32,คาดว่าจะแล้วเสร็จ : พ.ค. 2563
Bangkok Horizon Lite @ สถานีเพชรเกษม 48 คอนโด Low Rise ในซอยเพชรเกษม 48 ใกล้รถไฟฟ้า MRT 200 เมตร จาก CMC Group [รีวิวฉบับที่ 1602],13.718212,100.44563,741,1.69,8,คาดว่าจะแล้วเสร็จ : ก.ย. 62
Elio Del Ray อาณาจักรคอนโด สไตล์รีสอร์ท ใกล้ BTS อุดมสุข ในซอยสุขุมวิท 66/1 โดย อนันดา [รีิวิวฉบับที่ 425],13.683903,100.604789,1,1.59,8,
DOLCE ลาซาล คอนโด Low Rise ในซอยลาซาล 7 ใกล้ BTS แบริ่ง  จาก สิรยศ [รีวิวฉบับที่ 1698],13.664783,100.606758,178,1.69,8,คาดว่าจะแล้วเสร็จ : q4 2563
พาชมตึกเสร็จ Chateau in Town จรัญสนิทวงศ์ 96/2 คอนโด Low Rise วิวแม่น้ำเจ้าพระยา ใกล้สะพานพระราม 7 และทางด่วนศรีรัชฯ จาก CMC [รีวิวฉบับที่ 1684],13.80766,100.512817,406,1.99,8,
Supalai Park รัชวิภา คอนโดตึกคู่บนถนนรัชดาภิเษกใกล้แยกวงศ์สว่าง จากศุภาลัย [รีวิวฉบับที่ 1125],13.831164,100.534918,1,1.43,30,
Wish Signature Midtown Siam คอนโด High Rise 45 ชั้น ใกล้ BTS ราชเทวี by สยามนุวัตร [รีวิวฉบับที่ 586],13.752026,100.534687,623,3.4,45,คาดว่าจะแล้วเสร็จ : ต.ค. 2560
Tropicana คอนโดตึกคู่แนว ECO Green ใกล้ BTS เอราวัณ by Origin Property [รีวิวฉบับที่ 562],13.629327,100.587091,363,1.28,8,คาดว่าจะแล้วเสร็จ : ไตรมาส 4 ปี 2558
ณ วีรา พหล-อารีย์ คอนโด Low Rise ยูนิตน้อย ในซอยพหลโยธิน 14 จาก ณวรางค์ แอสเซท [รีวิวฉบับที่ 1748],13.786162,100.549096,78,2.49,8,คาดว่าจะแล้วเสร็จ : ไตรมาส 1/2563
Ease พระราม 2 คอนโด Low Rise 8 ชั้น 2 อาคารอยู่ในซอยหลังเซ็น Central พระราม 2 ภายใต้แบรนด์ใหม่จาก LH [รีวิวฉบับที่ 510],13.745565,100.534256,480,1.39,8,
Knightsbridge แบริ่ง คอนโดพร้อมเข้าอยู่ ใกล้ BTS แบริ่ง จาก Origin [รีวิวฉบับที่ 785],13.657582,100.603547,276,2.1,25,
Lumpini Ville พัฒนาการ – ศรีนครินทร์ คอนโด High Rise สูง 32 ชั้น บนถนนพัฒนาการ เน้นการพักผ่อนและการออกกำลังกาย จาก LPN [PREVIEW],13.737223,100.623632,795,1.65,32,คาดว่าจะแล้วเสร็จ : พ.ค. 2563
พาชมทำเล Cooper Siam คอนโด High Rise ตัวใหม่ซอยรองเมือง 5 ใกล้ BTS สนามกีฬาแห่งชาติ จาก Koon Estate [รีวิวฉบับที่ 1508],13.746059,100.522454,,,,
SAVVI อารีย์ 4 คอนโด Low Rise ย่านอารีย์แบบ Private แค่ 39 ยูนิต จาก The Urban Property [PREVIEW],13.785281,100.543451,39,,8,คาดว่าจะแล้วเสร็จ : ไตรมาส 4 ปี 2020
Villa Lasalle คอนโด Low Rise โดย Origin [PREVIEW],13.660244,100.611295,353,1.49,8,คาดว่าจะแล้วเสร็จ : ไตรมาส 1 ปี 2559
พาชมตึกเสร็จ Maestro 02 ร่วมฤดี คอนโด Low Rise ย่านเพลินจิตในซอยร่วมฤดี 2 โดย Major Development  [รีวิวฉบับที่ 1102],13.7358675,100.55061,138,4.5,8,
The Teak พัฒนาการ-ทองหล่อ คอนโด Low Rise หน้าปากซอยพัฒนาการ 10/1 ใกล้แยกคลองตัน จาก LKH Development [รีวิวฉบับที่ 1002],13.739251,100.603287,79,,8,
Noble BE 33 Sukhumvit พาชมทำเลโครงการใหม่จาก Noble Development,13.735357,100.567708,,,,
The Excel รัชดา 18 คอนโด Low Rise 8 ชั้น ในซอย 20 มิถุนา จาก All Inspire [รีวิวฉบับที่ 1625],13.782286,100.582377,270,1.79,8,คาดว่าจะแล้วเสร็จ : ปี 2020
The Zea ศรีราชา คอนโด High Rise 39 ชั้น สูงที่สุดในศรีราชา ติดถนนสุขุมวิท [รีวิวฉบับที่ 741],13.193177,100.935201,585,2.17,39,คาดว่าจะแล้วเสร็จ : พฤศจิกายน 2560
IDEO O2 คอนโด High Rise 3 อาคาร สูง 33-34 ชั้น ใกล้ BTS บางนา จาก อนันดา [รีวิวฉบับที่ 939],13.673218,100.604592,1,2.3,,คาดว่าจะแล้วเสร็จ : ปี 2561
Vio แคราย Condo Low Rise 8 ชั้น ห่างสถานีรถไฟฟ้าศูนย์ราชการนนทบุรี 30 ม. จาก อดามัส  [รีวิวฉบับที่ 1022],13.861154,100.511858,125,2.4,8,
Skyline รัตนาธิเบศร์ คอนโด Hight Rise 38 ชั้น ใกล้สถานีรถไฟฟ้าสายสีม่วง จาก AJ Property [รีวิวฉบับที่ 675],13.867164,100.490778,810,1.86,38,คาดว่าจะแล้วเสร็จ : กันยายน 2560
The Park @ประชาชื่น คอนโด Low Rise ริมคลองประปาตรงข้าม ม.ธุรกิจบัณฑิต จาก PP Land Property [รีวิวฉบับที่ 526],13.865445,100.546789,109,1.89,8,คาดว่าจะแล้วเสร็จ : ปลายปี 2557
Supalai Oriental สุขุมวิท39 คอนโด High Rise 4 อาคาร ในซอยสุขุมวิท39 ใกล้ย่านพร้อมพงษ์ จาก ศุภาลัย [รีวิวฉบับที่ 1374],13.744622,100.573062,1,4.5,,คาดว่าจะแล้วเสร็จ : ปลายปี 2563
[Project Sneak Peek] เผยข้อมูลโครงการ Elio Del Moss คอนโด Low Rise โครงการล่าสุดใกล้ ม.เกษตรฯ ในซอยพหลโยธิน 34 จาก Ananda,13.839381,100.582482,,1.59,8,คาดว่าจะแล้วเสร็จ : q3/2562
Whizdom Connect Sukhumvit คอนโด High Rise จาก Magnolia [Preview],13.685149,100.610558,673,3.08,41,
The Seed Mingle สาทร-สวนพลู คอนโดพร้อมอยู่ ใจกลางเมือง ในซอยสวนพลู 8 โดยพฤกษา [รีวิวฉบับที่ 511],13.719708,100.53915,531,2.2,31,
The Prop Condominium คอนโด Low Rise ตึกคู่ในซอยแจ้งวัฒนะ 12 จาก The Rise Property [รีวิวฉบับที่ 1676],13.896124,100.565756,315,1.2,8,คาดว่าจะแล้วเสร็จ : ตุลาคม 2561
Supalai Veranda รามคำแหง คอนโด High Rise ติด MRT ราชมังคลา ได้วิวสวนสุขภาพและสนามกีฬา จาก ศุภาลัย [รีวิวฉบับที่ 1680],13.760576,100.627993,2,2.07,,คาดว่าจะแล้วเสร็จ : กลางปี 2565
The Excel Hideaway สุขุมวิท 50 คอนโด Low Rise ซอยเริ่มเจริญ ใกล้ทางด่วนและโลตัสอ่อนนุช จาก All Inspire [รีวิวฉบับที่ 1497],13.706371,100.591415,196,1.77,,คาดว่าจะแล้วเสร็จ : q3 2562
Noble RE:D คอนโด 23 ชั้นใกล้สถานีรถไฟฟ้าอารีย์ by Noble – รีวิวตึกเสร็จ [รีวิวฉบับที่ 579],13.780238,100.54375,272,6.1,23,
CONDO U วิภา-ลาดพร้าว คอนโด Low Rise สร้างเสร็จพร้อมอยู่ ซอยวิภาวดี20 ติดการบินไทย จาก Grand U [รีวิวฉบับที่ 731],13.802765,100.56178,362,2.29,8,
Pause สุขุมวิท 103 คอนโด Low Rise 2 อาคารในซอยอุดมสุข 7 ระยะ 800 เมตรถึง BTS อุดมสุข จาก Origin Property [รีวิวฉบับที่ 855],13.681441,100.612562,268,1.69,8,คาดว่าจะแล้วเสร็จ : q2 2560
พาชมตึกเสร็จ Fuse Sense บางแค คอนโด High Rise 24 ชั้น ติดถนนใหญ่ ใกล้แยกเพชรเกษม – พุทธมณฑล สาย2 จาก พฤกษา [รีวิวฉบับที่ 948],13.710659,100.396238,815,1.62,24,
The Tree Elegance ติวานนท์ คอนโด High Rise 42 ชั้น ติดถนนประชาราษฎร์ จาก พฤกษา [รีวิวฉบับที่ 861],13.844424,100.503261,1,1.49,42,คาดว่าจะแล้วเสร็จ : ปลายปี 2561
URBANO ABSOLUTE สาทร-ตากสิน คอนโดมิเนียม 40 ชั้น วิวแม่น้ำเจ้าพระยาส่วนกลางจัดเต็ม by พฤกษา [รีวิวฉบับที่ 457],13.72086,100.506968,593,2.8,40,
The Privacy ประชาอุทิศ-สุขสวัสดิ์ คอนโด Low Rise จากพฤกษา [PREVIEW],13.66161111,100.50276111,,1.6,8,
"Condo U Campus รังสิต – เมืองเอก คอนโด Low-Rise ใกล้มทร.ธัญบุรี, ม.รังสิต และรถไฟฟ้าสายสีแดงสถานี หลักหก โดย แกรนด์ ยู [รีวิวฉบับที่ 485]",13.968283,100.616083,448,1.5,8,
Niche Mono สุขุมวิท-ปู่เจ้า คอนโด High Rise สูง 12 ชั้น ใกล้ BTS ปู่เจ้าเพียง 45 ม. จาก เสนาดีเวลลอปเม้นท์ [รีวิวฉบับที่ 1822],13.63849,100.592316,198,2.59,12,คาดว่าจะแล้วเสร็จ : พ.ย. 2562
HALLMARK จรัญ 13 คอนโด Low Rise ย่านฝั่งธน ใกล้ MRT จรัญฯ 13 จาก ชีวาทัย [PREVIEW],13.740399,100.466798,184,2.19,8,คาดว่าจะแล้วเสร็จ : ธ.ค. 2562
รีวิวตึกเสร็จ Notting Hill สุขุมวิท105 คอนโด Low Rise ในซอยลาซาล ห่างBTSแบริ่ง 500 เมตร จาก Origin [รีวิวฉบับที่ 1799],13.661453,100.606688,1,1.99,8,คาดว่าจะแล้วเสร็จ : เมษายน 2562
พาชมทำเลคอนโด Villa Lasalle คอนโด Low Rise ในซอยลาซาล โดย Origin Property [PREVIEW],13.660429,100.611238,,,,
พาชมตึกเสร็จ Fuse Mobius รามคำแหง-คลองตัน หมู่คอนโด High Rise 3 อาคาร ในซอยรามคำแหง 3/1 ห่างจาก Airport Rail Link รามคำแหง 450 ม. จาก พฤกษา [รีวิวฉบับที่ 1066],13.74559,100.602033,1,,,
พาชมตึกเสร็จ Tempo Quad สะพานใหม่ คอนโด Low Rise บนถนนเทพรักษ์ ใกล้รถไฟฟ้าสถานีสายหยุด 250 ม. จาก Built Land  [รีวิวฉบับที่ 1211],13.890029,100.605958,153,2.6,8,
รีวิวตึกเสร็จ The Tree ลาดพร้าว 15 คอนโด Low Rise ในซอยลาดพร้าว 15 ใกล้ MRT ลาดพร้าว จากพฤกษา [รีวิวฉบับที่ 1789],13.815374,100.572168,214,1.79,8,คาดว่าจะแล้วเสร็จ : พ.ค. 62
A Plus Inspire รัตนาธิเบศร์ 11 คอนโด Low rise ใกล้รถไฟฟ้าสถานีบางกระสอ จาก เอ พลัส เรียลเอสเตท [รีวิวฉบับที่ 1129],13.858963,100.506693,70,,8,คาดว่าจะแล้วเสร็จ : มี.ค. 2561
Altitude Symphony เจริญกรุง – สาทร คอนโด High Rise บนถนนจันทน์จาก Altitude Development [PREVIEW],13.710127,100.514148,99,,22,
พาชมทำเล Na Vara Residence คอนโด Low Riseในถนนหลังสวน จาก Navarang Asset [รีวิวฉบับที่ 1020],13.741968,100.544509,,,,
ศุภาลัย Cute รัชโยธิน – พหลโยธิน 34 หมู่ตึกบุปผา 5 อาคาร จาก ศุภาลัย [รีวิวฉบับที่ 559],13.837587,100.581391,882,1.96,8,คาดว่าจะแล้วเสร็จ : ปลายปี 2559
A PLUS 2 @รัตนาธิเบศร์ คอนโด Low Rise ใกล้สถานีศรีพรสวรรค์ รถไฟฟ้าสายสีม่วง จาก เอ พลัส เรียลเอสเตท [รีวิวฉบับที่ 754],13.859768,100.506862,134,1.335,8,
รีวิวตึกเสร็จ B Loft Lite สุขุมวิท115 (โครงการ B) คอนโด Low Rise ในซอยสุขุมวิท 115 ห่าง BTS ปู่เจ้าสมิงพราย 400 เมตร จาก ORIGIN Property [รีวิวฉบับที่ 1857],13.636051,100.595628,78,1.89,8,คาดว่าจะแล้วเสร็จ : พฤษภาคม 2562
The Niche Pride ทองหล่อ – เพชรบุรี คอนโด High Rise 33 ชั้น ติดถนนเพชรบุรี จาก เสนา  [รีวิวฉบับที่ 902],13.744852,100.58343,667,2.7,33,คาดว่าจะแล้วเสร็จ : ก.ย. 2560
The Address สยาม – ราชเทวี คอนโด High Rise ระดับ LUXURY บนถนนเพชรบุรี ใกล้ BTS ราชเทวี จาก AP [PREVIEW],13.753569,100.530594,880,,50,คาดว่าจะแล้วเสร็จ : 2565
พาชมตึกเสร็จ  Dolce อุดมสุข คอนโด Low Rise 7 ชั้น ฝ้าเพดานสูง 2.85 เมตร ใกล้ BTS อุดมสุข จาก Sirayos Group   [รีวิวฉบับที่ 1199],13.676142,100.612407,79,2.6,7,
Giraffe Duplex Living คอนโด Duplex เพดานสูง 5.8 เมตรทุกยูนิต บนถนนนครอินทร์ จาก เดย์เกน กรุ๊ป [รีวิวฉบับที่ 441],13.823516,100.463641,336,2.49,,
Ashton จุฬา-สีลม คอนโด High Rise 56 ชั้น ใกล้ MRTสามย่าน จาก Ananda Development [รีวิวฉบับที่ 858],13.731102,100.531009,1,4.99,56,
Savvi Phahol 2 คอนโด Low Rise ในซอยพหลโยธิน 2 ใกล้ BTS อารีย์ จาก The Urban Property [รีวิวฉบับที่ 1727],13.777265,100.546653,62,3.8,7,คาดว่าจะแล้วเสร็จ : ปี 2019
The Stage เตาปูน Interchange คอนโด High Rise ใกล้สถานีเชื่อมรถไฟฟ้า 2 สาย by Real Asset [รีวิวฉบับที่ 679],13.805742,100.52619,,1.89,,
Serrano พระราม 2 ซอย 54 คอนโดพร้อม Club House หลังเซ็นทรัล โดย Inspired Estate [รีวิวฉบับที่ 443],13.664843,100.432845,458,1.29,8,
Anil สาทร 12 คอนโด High Rise ติดถนนสาทร ระดับ SUPER LUXURY ตัวแรกจาก Grand Unity [รีวิวฉบับที่ 1870],13.720997,100.525974,222,11,42,คาดว่าจะแล้วเสร็จ : เมษายน 2565
O2 Condo เพลินจิต คอนโดพร้อมอยู่ 7 ชั้น ในซอยนายเลิศ ใกล้ BTS เพลินจิต โดย Ocean Property [รีวิวฉบับที่ 516],13.745091,100.549402,48,13.8,7,
UNIO จรัญฯ 3 คอนโด Low Rise ราคาล้านต้นๆในซอยจรัญสนิทวงศ์ 3 ห่างจาก MRT ท่าพระ 1 กม. จาก Ananda [รีวิวฉบับที่ 1011],13.732525,100.467202,1,,8,
Plum Condo แจ้งวัฒนะ สเตชั่น (เฟส 1) คอนโด Low Rise ในซอยแจ้งวัฒนะ 1 ใกล้รถไฟฟ้า 3 สาย จาก พฤกษา [รีวิวฉบับที่ 1026],13.87937,100.58581,809,1.2,8,คาดว่าจะแล้วเสร็จ : ธันวาคม 2559
Whizdom อโศก-สุขุมวิท คอนโด High Rise ระดับ Ultimate Class ติดถนนรัชดาภิเษก วิวทะเลสาบและสวนเบญจกิตติ จาก MQDC [รีวิวฉบับที่ 1724],13.732042,100.559965,21,8.4,,คาดว่าจะแล้วเสร็จ : q1 2022
Motif Condo วงเวียนใหญ่-ตลาดพลู คอนโด High Rise สไตล์ Greenovative Living ใกล้ BTS วงเวียนใหญ่ จาก สันติโชค [PREVIEW],13.727002,100.487631,387,1.99,23,
Ease พระราม 2 คอนโดใกล้ Central พระราม 2 จาก Land and Houses,13.669465,100.436776,480,1.39,,
Chapter One Midtown ลาดพร้าว 24 คอนโด High Rise 37 ชั้นห่างจาก MRT ลาดพร้าว 130 เมตร [รีวิวฉบับที่ 756],13.806471,100.572747,514,2.4,37,
รีวิวตึกเสร็จ Ashton สีลม คอนโด High Rise ระดับ Ultimate Class บนถนนสีลม จาก อนันดา [รีวิวฉบับที่ 1842],13.726391,100.526828,428,8.0,48,
The Privacy รัชดา-สุทธิสาร คอนโด Low Rise 8 ชั้น 3 อาคาร ภายใต้แนวคิด Urban Living Design จาก Pruksa Real Estate [PREVIEW],13.78904944,100.58921,75,1.79,8,
Life Asoke คอนโด High Rise 35 ชั้น ใกล้กับ MRT เพชรบุรี และ Airport Link มักกะสัน โดย AP  [Preview],13.750716,100.563867,1,,35,
